# timestamp error(m)
56.153000000 0.023091991
56.206000000 0.023100778
56.302000000 0.029851270
56.396000000 0.026399298
56.496000000 0.022197944
56.597000000 0.028274167
56.703000000 0.011871331
56.805000000 0.002148045
56.905000000 0.019956980
57.006000000 0.014523286
57.099000000 0.023903632
57.200000000 0.019116262
57.296000000 0.019550377
57.405000000 0.020689117
57.503000000 0.017037331
57.602000000 0.007286784
57.696000000 0.025203514
57.805000000 0.014274440
57.900000000 0.032925935
58.002000000 0.018601078
58.103000000 0.031593703
58.199000000 0.020043696
58.305000000 0.014683186
58.400000000 0.016427692
58.500000000 0.007963260
58.601000000 0.018180582
58.706000000 0.017223779
58.800000000 0.038170567
58.896000000 0.041024533
58.995000000 0.033634455
59.100000000 0.013952460
59.195000000 0.012053116
59.295000000 0.018104875
59.397000000 0.019509351
59.502000000 0.030213821
59.602000000 0.024996414
59.705000000 0.024020894
59.802000000 0.039447154
59.895000000 0.020939159
59.994000000 0.036341764
60.101000000 0.038444784
60.200000000 0.008513432
60.294000000 0.010136775
60.406000000 0.026013198
60.505000000 0.017529368
60.602000000 0.021538138
60.699000000 0.024732052
60.802000000 0.020680959
60.899000000 0.029463201
61.005000000 0.016320140
61.116000000 0.023853585
61.205000000 0.023894069
61.299000000 0.018723167
61.396000000 0.030989296
61.504000000 0.013348350
61.601000000 0.002568268
61.700000000 0.014388492
61.803000000 0.024629836
61.912000000 0.050480110
62.001000000 0.047840924
62.094000000 0.027204448
62.197000000 0.037449765
62.294000000 0.018484872
62.397000000 0.020852511
62.506000000 0.013590983
62.604000000 0.014510432
62.702000000 0.022934119
62.801000000 0.039958253
62.904000000 0.017953781
63.002000000 0.010394081
63.103000000 0.016101824
63.206000000 0.027623102
63.316000000 0.018568919
63.393000000 0.023126300
63.505000000 0.012158447
63.600000000 0.018502346
63.702000000 0.018590963
63.804000000 0.018684889
63.905000000 0.044501013
63.995000000 0.040380012
64.106000000 0.033652436
64.203000000 0.015645617
64.319000000 0.037304128
64.404000000 0.031804517
64.502000000 0.049773333
64.600000000 0.054137700
64.704000000 0.040461807
64.805000000 0.040394221
64.898000000 0.035398063
65.001000000 0.044826766
65.099000000 0.031245298
65.205000000 0.027350684
65.298000000 0.029468386
65.402000000 0.059392872
65.501000000 0.058861669
65.599000000 0.045220217
65.695000000 0.044210963
65.797000000 0.056032212
65.899000000 0.072445017
66.000000000 0.072130949
66.095000000 0.030855097
66.195000000 0.051266149
66.312000000 0.040521298
66.400000000 0.019259983
66.496000000 0.025558084
66.595000000 0.005879118
66.701000000 0.036757135
66.806000000 0.039483273
66.903000000 0.026481796
67.003000000 0.012015518
67.096000000 0.007652402
67.200000000 0.016248961
67.297000000 0.007752043
